,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
62,<a href=https://cryptocompare.com/coins/celo/overview>CELO</a>,<a href=https://cryptocompare.com/coins/celo/overview>Celo</a>,3.39,<p class=red>-0.59</p>,<p class=green>+2.42</p>,"75,836,591.0","3,390,000,000.0","1,000,000,000.0",2022-04-01 23:08:34
63,<a href=https://cryptocompare.com/coins/ygg/overview>YGG</a>,<a href=https://cryptocompare.com/coins/ygg/overview>Yield Guild Games</a>,3.27,<p class=green>+0.71</p>,<p class=green>+8.94</p>,"32,127,970.0","3,266,000,000.0","1,000,000,000.0",2022-04-01 23:01:51
64,<a href=https://cryptocompare.com/coins/pci/overview>PCI</a>,<a href=https://cryptocompare.com/coins/pci/overview>PayProtocol Paycoin</a>,0.81,<p class=red>-0.53</p>,<p class=green>+0.72</p>,"1,123,427.0","3,211,233,995.0","3,941,000,000.0",2022-04-01 23:08:45
65,<a href=https://cryptocompare.com/coins/rly/overview>RLY</a>,<a href=https://cryptocompare.com/coins/rly/overview>Rally</a>,0.21,<p class=green>+0.05</p>,<p class=green>+3.39</p>,"1,543,514.0","3,205,500,000.0","15,000,000,000.0",2022-04-01 23:08:41
66,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,2.84,<p class=red>-0.21</p>,<p class=green>+0.46</p>,"296,386,264.0","2,986,988,745.0","1,051,016,448.0",2022-04-01 23:08:30
67,<a href=https://cryptocompare.com/coins/zil/overview>ZIL</a>,<a href=https://cryptocompare.com/coins/zil/overview>Zilliqa</a>,0.19,<p class=red>-1.69</p>,<p class=green>+3.68</p>,"1,612,885,645.0","2,953,387,144.0","15,886,966,886.0",2022-04-01 23:08:47
68,<a href=https://cryptocompare.com/coins/1inch/overview>1INCH</a>,<a href=https://cryptocompare.com/coins/1inch/overview>1inch</a>,1.87,<p class=red>-0.32</p>,<p class=green>+5.18</p>,"51,219,438.0","2,800,500,000.0","1,500,000,000.0",2022-04-01 23:08:14
69,<a href=https://cryptocompare.com/coins/neo/overview>NEO</a>,<a href=https://cryptocompare.com/coins/neo/overview>NEO</a>,27.98,<p class=green>+0.11</p>,<p class=green>+3.86</p>,"170,089,454.0","2,798,000,000.0","100,000,000.0",2022-04-01 23:07:02
70,<a href=https://cryptocompare.com/coins/hnt/overview>HNT</a>,<a href=https://cryptocompare.com/coins/hnt/overview>Helium</a>,24.11,<p class=red>-0.54</p>,<p class=red>-0.12</p>,"32,419,127.0","2,789,167,566.0","115,685,091.0",2022-04-01 23:08:41
71,<a href=https://cryptocompare.com/coins/rose/overview>ROSE</a>,<a href=https://cryptocompare.com/coins/rose/overview>Oasis Labs</a>,0.28,<p class=red>-0.52</p>,<p class=green>+2.2</p>,"72,217,872.0","2,763,930,900.0","10,000,000,000.0",2022-04-01 23:08:45
72,<a href=https://cryptocompare.com/coins/mc/overview>MC</a>,<a href=https://cryptocompare.com/coins/mc/overview>Merit Circle</a>,2.85,<p class=red>-0.35</p>,<p class=green>+6.9</p>,"5,051,651.0","2,758,565,444.0","968,847,283.0",2022-04-01 23:08:45
73,<a href=https://cryptocompare.com/coins/amp/overview>AMP</a>,<a href=https://cryptocompare.com/coins/amp/overview>Amp</a>,0.03,<p class=red>-0.29</p>,<p class=green>+1.26</p>,"10,872,135.0","2,713,821,676.0","99,443,813,716.0",2022-04-01 23:08:30
74,<a href=https://cryptocompare.com/coins/cake/overview>CAKE</a>,<a href=https://cryptocompare.com/coins/cake/overview>PancakeSwap</a>,9.29,<p class=red>-0.09</p>,<p class=green>+5.8</p>,"163,282,923.0","2,616,691,933.0","281,753,173.0",2022-04-01 23:08:45
75,<a href=https://cryptocompare.com/coins/cvx/overview>CVX</a>,<a href=https://cryptocompare.com/coins/cvx/overview>Convex Finance</a>,30.0,<p class=red>-0.19</p>,<p class=green>+4.3</p>,"13,214,380.0","2,628,128,349.0","87,602,946.0",2022-04-01 23:08:45
76,<a href=https://cryptocompare.com/coins/anc/overview>ANC</a>,<a href=https://cryptocompare.com/coins/anc/overview>Anchor Protocol</a>,2.57,<p class=red>-1.23</p>,<p class=green>+0.82</p>,"22,964,440.0","2,566,000,000.0","1,000,000,000.0",2022-04-01 23:08:44
77,<a href=https://cryptocompare.com/coins/ar/overview>AR</a>,<a href=https://cryptocompare.com/coins/ar/overview>Arweave</a>,39.47,<p class=red>-0.77</p>,<p class=green>+7.34</p>,"45,682,470.0","2,549,890,749.0","64,598,643.0",2022-04-01 23:08:45
78,<a href=https://cryptocompare.com/coins/mina/overview>MINA</a>,<a href=https://cryptocompare.com/coins/mina/overview>Mina Protocol</a>,2.76,<p class=red>-0.36</p>,<p class=green>+4.15</p>,"54,114,118.0","2,498,970,054.0","905,423,932.0",2022-04-01 23:03:20
79,<a href=https://cryptocompare.com/coins/flow/overview>FLOW</a>,<a href=https://cryptocompare.com/coins/flow/overview>Flow - Dapper Labs</a>,6.98,<p class=red>-0.19</p>,<p class=green>+2.48</p>,"54,390,512.0","2,495,826,910.0","357,722,074.0",2022-04-01 23:07:54
80,<a href=https://cryptocompare.com/coins/chz/overview>CHZ</a>,<a href=https://cryptocompare.com/coins/chz/overview>Chiliz</a>,0.28,<p class=red>-0.32</p>,<p class=red>-1.34</p>,"174,019,205.0","2,483,555,555.0","8,888,888,888.0",2022-04-01 23:08:30
81,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,2.48,<p class=red>-0.5</p>,<p class=green>+4.45</p>,"2,942,077.0","2,483,834,050.0","1,000,000,000.0",2022-04-01 23:08:45
82,<a href=https://cryptocompare.com/coins/miota/overview>MIOTA</a>,<a href=https://cryptocompare.com/coins/miota/overview>IOTA</a>,0.89,<p class=red>-0.29</p>,<p class=green>+4.19</p>,"38,161,076.0","2,468,222,891.0","2,779,530,283.0",2022-04-01 23:08:21
83,<a href=https://cryptocompare.com/coins/zec/overview>ZEC</a>,<a href=https://cryptocompare.com/coins/zec/overview>ZCash</a>,189.48,<p class=red>-0.37</p>,<p class=green>+6.26</p>,"174,934,749.0","2,328,296,520.0","12,287,822.0",2022-04-01 23:08:14
84,<a href=https://cryptocompare.com/coins/fxs/overview>FXS</a>,<a href=https://cryptocompare.com/coins/fxs/overview>Frax Share</a>,23.3,<p class=red>-0.21</p>,<p class=green>+4.34</p>,"6,265,399.0","2,310,886,543.0","99,193,940.0",2022-04-01 23:08:45
85,<a href=https://cryptocompare.com/coins/cel/overview>CEL</a>,<a href=https://cryptocompare.com/coins/cel/overview>Celsius Network</a>,3.26,<p class=green>+0.03</p>,<p class=red>-2.13</p>,"1,477,208.0","2,263,365,238.0","693,858,135.0",2022-04-01 23:07:55
86,<a href=https://cryptocompare.com/coins/mkr/overview>MKR</a>,<a href=https://cryptocompare.com/coins/mkr/overview>Maker</a>,"2,306.42",<p class=green>+0.17</p>,<p class=green>+10.08</p>,"42,360,982.0","2,254,827,776.0","977,631.0",2022-04-01 23:08:48
87,<a href=https://cryptocompare.com/coins/one/overview>ONE</a>,<a href=https://cryptocompare.com/coins/one/overview>Harmony</a>,0.16,<p class=red>-0.61</p>,<p class=green>+0.81</p>,"157,593,121.0","2,174,302,843.0","13,405,073,016.0",2022-04-01 23:07:42
88,<a href=https://cryptocompare.com/coins/xdc/overview>XDC</a>,<a href=https://cryptocompare.com/coins/xdc/overview>Xinfin Network</a>,0.06,<p class=red>-0.2</p>,<p class=green>+0.65</p>,"3,154,767.0","2,171,545,738.0","37,705,012,698.0",2022-04-01 23:08:45
89,<a href=https://cryptocompare.com/coins/cvnt/overview>CVNT</a>,<a href=https://cryptocompare.com/coins/cvnt/overview>Conscious Value Network</a>,2.16,<p class=red>-0.21</p>,<p class=red>-2.55</p>,"60,072.0","2,159,755,050.0","1,000,000,000.0",2022-04-01 23:08:45
90,<a href=https://cryptocompare.com/coins/rsr/overview>RSR</a>,<a href=https://cryptocompare.com/coins/rsr/overview>Reserve Rights</a>,0.02,<p class=red>-0.54</p>,<p class=green>+0.44</p>,"167,907,213.0","2,042,999,999.0","99,999,999,999.0",2022-04-01 23:08:16
91,<a href=https://cryptocompare.com/coins/ray/overview>RAY</a>,<a href=https://cryptocompare.com/coins/ray/overview>Raydium</a>,3.67,<p class=red>-0.35</p>,<p class=green>+8.43</p>,"20,567,765.0","2,034,629,998.0","554,999,999.0",2022-04-01 23:08:47
92,<a href=https://cryptocompare.com/coins/ht/overview>HT</a>,<a href=https://cryptocompare.com/coins/ht/overview>Huobi Token</a>,9.47,<p class=green>+0.58</p>,<p class=green>+1.53</p>,"22,691,033.0","1,988,102,138.0","209,826,083.0",2022-04-01 23:08:50
93,<a href=https://cryptocompare.com/coins/snx/overview>SNX</a>,<a href=https://cryptocompare.com/coins/snx/overview>Synthetix</a>,7.72,<p class=red>-0.09</p>,<p class=green>+13.29</p>,"176,100,470.0","1,931,840,461.0","250,108,811.0",2022-04-01 23:08:29
94,<a href=https://cryptocompare.com/coins/stx/overview>STX</a>,<a href=https://cryptocompare.com/coins/stx/overview>Stacks</a>,1.46,<p class=green>+0.21</p>,<p class=green>+1.25</p>,"8,332,534.0","1,900,894,071.0","1,305,559,114.0",2022-04-01 23:06:24
95,<a href=https://cryptocompare.com/coins/enj/overview>ENJ</a>,<a href=https://cryptocompare.com/coins/enj/overview>Enjin Coin</a>,1.86,<p class=red>-0.32</p>,<p class=green>+3.51</p>,"123,682,764.0","1,860,000,000.0","1,000,000,000.0",2022-04-01 23:08:41
96,<a href=https://cryptocompare.com/coins/ens/overview>ENS</a>,<a href=https://cryptocompare.com/coins/ens/overview>Ethereum Name Service</a>,18.49,<p class=red>-0.22</p>,<p class=green>+2.32</p>,"47,116,213.0","1,848,999,999.0","100,000,000.0",2022-04-01 23:08:24
97,<a href=https://cryptocompare.com/coins/xec/overview>XEC</a>,<a href=https://cryptocompare.com/coins/xec/overview>eCash</a>,0.0,<p class=green>+0.09</p>,<p class=green>+9.48</p>,"10,543,804.0","1,832,495,389.0","19,021,127,146,789.0",2022-04-01 23:06:25
98,<a href=https://cryptocompare.com/coins/ksm/overview>KSM</a>,<a href=https://cryptocompare.com/coins/ksm/overview>Kusama</a>,190.54,<p class=red>-0.14</p>,<p class=green>+1.09</p>,"53,943,988.0","1,838,942,973.0","9,651,217.0",2022-04-01 23:07:02
99,<a href=https://cryptocompare.com/coins/xrd/overview>XRD</a>,<a href=https://cryptocompare.com/coins/xrd/overview>Radix</a>,0.15,<p class=red>-0.2</p>,<p class=green>+2.38</p>,"271,891.0","1,838,188,499.0","12,221,998,001.0",2022-04-01 23:06:28
